구분,기관명,지점명,본점/지점구분,상위기관_주무부처_지자체,기관유형,상세주소,대표전화,콜센터,FAX,이메일,홈페이지,기관장명
지방공공기관,마포구시설관리공단,마포구시설관리공단,본점,서울특별시 마포구,지방공단(시설관리공단),-,02-300-5000,-,-,-,http://www.mfmc.or.kr,박태규
지방공공기관,양천구시설관리공단,양천구시설관리공단,본점,서울특별시 양천구,지방공단(시설관리공단),-,02-2061-3413,-,-,-,http://www.ycs.or.kr,박태문
지방공공기관,강서구시설관리공단,강서구시설관리공단,본점,서울특별시 강서구,지방공단(시설관리공단),-,02-2607-9113,-,-,-,http://gssi.or.kr,김성진
지방공공기관,구로구시설관리공단,구로구시설관리공단,본점,서울특별시 구로구,지방공단(시설관리공단),-,02-839-4875,-,-,-,http://www.gurosisul.or.kr,남승우
지방공공기관,금천구시설관리공단,금천구시설관리공단,본점,서울특별시 금천구,지방공단(시설관리공단),-,02-809-0061,-,-,-,http://www.gfmc.kr,금천구시설관리공단/임병호이사장
지방공공기관,영등포구시설관리공단,영등포구시설관리공단,본점,서울특별시 영등포구,지방공단(시설관리공단),-,02-2650-1400,-,-,-,http://www.y-sisul.or.kr,오 인 영
지방공공기관,동작구시설관리공단,동작구시설관리공단,본점,서울특별시 동작구,지방공단(시설관리공단),-,02-832-2445,-,-,-,http://www.idongjak.or.kr,김진우
지방공공기관,관악구시설관리공단,관악구시설관리공단,본점,서울특별시 관악구,지방공단(시설관리공단),-,02-1661-8990,-,-,-,https://www.gwanakgongdan.or.kr/fmcs/1,천범룡
지방공공기관,강남구도시관리공단,강남구도시관리공단,본점,서울특별시 강남구,지방공단(시설관리공단),-,1544-3113,-,-,-,http://www.gncity.or.kr,양승미
지방공공기관,송파구시설관리공단,송파구시설관리공단,본점,서울특별시 송파구,지방공단(시설관리공단),-,02-2157-1114,-,-,-,http://www.songpagongdan.or.kr,황대성
지방공공기관,강동구도시관리공단,강동구도시관리공단,본점,서울특별시 강동구,지방공단(시설관리공단),-,02-2045-7700,-,-,-,http://www.igangdong.or.kr,오미혜
지방공공기관,부산광역시상수도,부산광역시상수도,본점,부산광역시 부산광역시,직영기업(상수도),-,051-669-4211,-,-,-,http://water.busan.go.kr,김병기
지방공공기관,부산광역시하수도,부산광역시하수도,본점,부산광역시 부산광역시,직영기업(하수도),-,051-888-3732,-,-,-,http://www.busan.go.kr/,이병석
지방공공기관,부산교통공사,부산교통공사,본점,부산광역시 부산광역시,지방공사(도시철도공사),-,1544-5005,-,-,-,https://www.humetro.busan.kr,이병진
지방공공기관,부산도시공사,부산도시공사,본점,부산광역시 부산광역시,지방공사(도시개발공사),-,051-810-1200,-,-,-,http://bmc.busan.kr,김용학
지방공공기관,부산관광공사,부산관광공사,본점,부산광역시 부산광역시,지방공사(기타공사),-,051-780-2111,-,-,-,http://www.bto.or.kr,이정실
지방공공기관,부산시설공단,부산시설공단,본점,부산광역시 부산광역시,지방공단(시설관리공단),-,1670-8114,-,-,-,http://www.bisco.or.kr,이성림
지방공공기관,부산지방공단스포원(부산시설공단 통합),부산지방공단스포원(부산시설공단 통합),본점,부산광역시 부산광역시,지방공단(시설관리공단),-,051-1577-6556,-,-,-,http://www.spo1.or.kr/,부산지방공단스포원/김석빈
지방공공기관,부산환경공단,부산환경공단,본점,부산광역시 부산광역시,지방공단(시설관리공단),-,051-759-9300,-,-,-,http://www.beco.or.kr,안종일
지방공공기관,부산광역시남구시설관리공단,부산광역시남구시설관리공단,본점,부산광역시 남구,지방공단(시설관리공단),-,051-601-3400,-,-,-,www.bnfmc.or.kr,김재왕
지방공공기관,부산광역시기장군도시관리공단,부산광역시기장군도시관리공단,본점,부산광역시 기장군,지방공단(시설관리공단),-,051-792-4700,-,-,-,http://www.gijangcmc.or.kr,김윤재
지방공공기관,대구광역시상수도,대구광역시상수도,본점,대구광역시 대구광역시,직영기업(상수도),-,053-670-2000,-,-,-,http://www.dgwater.go.kr,김경식
지방공공기관,대구광역시하수도,대구광역시하수도,본점,대구광역시 대구광역시,직영기업(하수도),-,053-803-4163,-,-,-,http://www.daegu.go.kr/Envi/,홍성주
지방공공기관,대구교통공사,대구교통공사,본점,대구광역시 대구광역시,지방공사(도시철도공사),-,053-643-2115,-,-,-,http://www.dtro.or.kr,김기혁
지방공공기관,대구도시개발공사,대구도시개발공사,본점,대구광역시 대구광역시,지방공사(도시개발공사),-,053-350-0300,-,-,-,https://www.dudc.or.kr,정명섭
지방공공기관,대구농수산물유통관리공사,대구농수산물유통관리공사,본점,대구광역시 대구광역시,지방공사(기타공사),-,-,-,-,-,-,-
지방공공기관,대구공공시설관리공단,대구공공시설관리공단,본점,대구광역시 대구광역시,지방공단(시설관리공단),-,053-605-8000,-,-,-,http://www.dpfc.or.kr,문기봉
지방공공기관,대구시설공단(대구공공시설관리공단 통합),대구시설공단(대구공공시설관리공단 통합),본점,대구광역시 대구광역시,지방공단(시설관리공단),-,053-1566-8578,-,-,-,http://www.dgsisul.or.kr,최길영
지방공공기관,대구광역시달성군시설관리공단,대구광역시달성군시설관리공단,본점,대구광역시 달성군,지방공단(시설관리공단),-,053-659-4000,-,-,-,http://www.dssiseol.or.kr,김정화
지방공공기관,인천광역시상수도,인천광역시상수도,본점,인천광역시 인천광역시,직영기업(상수도),-,032-720-2114,-,-,-,https://www.incheon.go.kr/water/index,박정남
지방공공기관,인천광역시하수도,인천광역시하수도,본점,인천광역시 인천광역시,직영기업(하수도),-,032-440-3614,-,-,-,http://www.incheon.go.kr,김철수
지방공공기관,인천경제자유구역청,인천경제자유구역청,본점,인천광역시 인천광역시,직영기업(공영개발),-,032-453-7172,-,-,-,http://www.ifez.go.kr,인천광역시경제자유구역청장 김진용
지방공공기관,인천교통공사,인천교통공사,본점,인천광역시 인천광역시,지방공사(도시철도공사),-,032-451-2114,-,-,-,http://www.ictr.or.kr,김성완
지방공공기관,인천도시공사,인천도시공사,본점,인천광역시 인천광역시,지방공사(도시개발공사),-,032-260-5000,-,-,-,http://www.ih.co.kr,조동암
지방공공기관,인천관광공사,인천관광공사,본점,인천광역시 인천광역시,지방공사(기타공사),-,032-899-7300,-,-,-,https://www.ito.or.kr/,백현
지방공공기관,인천시설공단,인천시설공단,본점,인천광역시 인천광역시,지방공단(시설관리공단),-,032-456-2003,-,-,-,http://www.insiseol.or.kr/,김종필
지방공공기관,인천환경공단,인천환경공단,본점,인천광역시 인천광역시,지방공단(시설관리공단),-,032-1588-0466,-,-,-,http://www.eco-i.or.kr,최계운
지방공공기관,인천광역시중구시설관리공단,인천광역시중구시설관리공단,본점,인천광역시 중구,지방공단(시설관리공단),-,032-850-1400,-,-,-,http://www.icjgss.or.kr,손영식
지방공공기관,인천광역시연수구시설안전관리공단,인천광역시연수구시설안전관리공단,본점,인천광역시 연수구,지방공단(시설관리공단),-,032-830-8000,-,-,-,http://www.ysfsmc.or.kr,연수구시설안전관리공단/박희경
지방공공기관,남동구도시관리공단,남동구도시관리공단,본점,인천광역시 남동구,지방공단(시설관리공단),-,032-460-0500,-,-,-,http://www.namdongcmc.co.kr,김석우
지방공공기관,인천광역시부평구시설관리공단,인천광역시부평구시설관리공단,본점,인천광역시 부평구,지방공단(시설관리공단),-,1566-8578,-,-,-,http://www.bpss.or.kr,장세강
지방공공기관,인천광역시계양구시설관리공단,인천광역시계양구시설관리공단,본점,인천광역시 계양구,지방공단(시설관리공단),-,032-551-6604,-,-,-,http://www.gysiseol.or.kr,박성민
지방공공기관,인천광역시서구시설관리공단,인천광역시서구시설관리공단,본점,인천광역시 서구,지방공단(시설관리공단),-,032-580-1111,-,-,-,http://www.issi.or.kr,우영환
지방공공기관,강화군시설관리공단,강화군시설관리공단,본점,인천광역시 강화군,지방공단(시설관리공단),-,032-930-7000,-,-,-,http://www.ghss.or.kr,송왕근
지방공공기관,인천광역시미추홀구시설관리공단,인천광역시미추홀구시설관리공단,본점,인천광역시 미추홀구,지방공단(시설관리공단),-,032-891-6091,-,-,-,http://www.inimc.co.kr/,김성규
지방공공기관,광주광역시상수도,광주광역시상수도,본점,광주광역시 광주광역시,직영기업(상수도),-,062-609-6122,-,-,-,http://water.gwangju.go.kr/,김일융
지방공공기관,광주광역시하수도,광주광역시하수도,본점,광주광역시 광주광역시,직영기업(하수도),-,062-613-4261,-,-,-,http://www.gwangju.go.kr,박남주
지방공공기관,광주교통공사,광주교통공사,본점,광주광역시 광주광역시,지방공사(도시철도공사),-,062-604-8000,-,-,-,http://www.grtc.co.kr/,조익문
지방공공기관,광주광역시도시공사,광주광역시도시공사,본점,광주광역시 광주광역시,지방공사(도시개발공사),-,062-600-6600,-,-,-,http://www.gmcc.co.kr,정민곤
지방공공기관,광주광역시 관광공사,광주광역시 관광공사,본점,광주광역시 광주광역시,지방공사(기타공사),-,062-611-2000,-,-,-,http://www.gjto.or.kr,김진강
지방공공기관,광주환경공단,광주환경공단,본점,광주광역시 광주광역시,지방공단(시설관리공단),-,062-603-5200,-,-,-,http://www.eco-g.or.kr,최향동 이사장 직무대행
지방공공기관,광주광역시서구시설관리공단,광주광역시서구시설관리공단,본점,광주광역시 서구,지방공단(시설관리공단),-,062-601-6010,-,-,-,https://seogufmc.or.kr/kor/,황봉주
지방공공기관,광주광역시북구시설관리공단,광주광역시북구시설관리공단,본점,광주광역시 북구,지방공단(시설관리공단),-,062-524-0001,-,-,-,https://gbfmc.or.kr/,나기백
지방공공기관,광주광역시광산구시설관리공단,광주광역시광산구시설관리공단,본점,광주광역시 광산구,지방공단(시설관리공단),-,062-960-9934,-,-,-,https://www.gsfmc.or.kr,임영일
지방공공기관,대전광역시상수도,대전광역시상수도,본점,대전광역시 대전광역시,직영기업(상수도),-,02-2061-3413,-,-,-,http://www.waterworks.daejeon.kr,문인환
지방공공기관,대전광역시하수도,대전광역시하수도,본점,대전광역시 대전광역시,직영기업(하수도),-,042-270-5482,-,-,-,http://www.daejeon.go.kr,정해교
지방공공기관,대전교통공사,대전교통공사,본점,대전광역시 대전광역시,지방공사(도시철도공사),-,042-539-3114,-,-,-,http://www.djtc.kr,연규양
지방공공기관,대전도시공사,대전도시공사,본점,대전광역시 대전광역시,지방공사(도시개발공사),-,042-530-9200,-,-,-,http://www.dcco.kr,정국영
지방공공기관,대전관광공사,대전관광공사,본점,대전광역시 대전광역시,지방공사(기타공사),-,042-250-1111,-,-,-,http://www.djto.kr,윤성국
지방공공기관,대전광역시시설관리공단,대전광역시시설관리공단,본점,대전광역시 대전광역시,지방공단(시설관리공단),-,042-610-2700,-,-,-,http://www.djsiseol.or.kr,이상태
지방공공기관,울산광역시상수도,울산광역시상수도,본점,울산광역시 울산광역시,직영기업(상수도),-,052-229-5511,-,-,-,http://water.ulsan.go.kr,김 상 육
지방공공기관,울산광역시하수도,울산광역시하수도,본점,울산광역시 울산광역시,직영기업(하수도),-,052-229-3272,-,-,-,http://www.ulsan.go.kr,홍병익
지방공공기관,울산광역시도시공사,울산광역시도시공사,본점,울산광역시 울산광역시,지방공사(도시개발공사),-,052-219-8400,-,-,-,http://www.umca.co.kr,윤두환
지방공공기관,울산시설공단,울산시설공단,본점,울산광역시 울산광역시,지방공단(시설관리공단),-,052-290-7305,-,-,-,http://www.uic.or.kr,김규덕
지방공공기관,울산광역시중구도시관리공단,울산광역시중구도시관리공단,본점,울산광역시 중구,지방공단(시설관리공단),-,052-290-7600,-,-,-,http://www.ujcmc.or.kr,이광학
지방공공기관,울산광역시남구도시관리공단,울산광역시남구도시관리공단,본점,울산광역시 남구,지방공단(시설관리공단),-,052-226-0900,-,-,-,http://www.uncmc.or.kr,이춘실
지방공공기관,울산광역시북구시설관리공단,울산광역시북구시설관리공단,본점,울산광역시 북구,지방공단(시설관리공단),-,052-255-5500,-,-,-,https://ubimc.or.kr,이관우
지방공공기관,울주군시설관리공단,울주군시설관리공단,본점,울산광역시 울주군,지방공단(시설관리공단),-,052-229-9000,-,-,-,http://www.uljusiseol.or.kr,최인식
지방공공기관,세종특별자치시상수도,세종특별자치시상수도,본점,세종특별자치시 세종특별자치시,직영기업(상수도),-,044-301-3212,-,-,-,https://www.sejong.go.kr/water.do,이동윤
지방공공기관,세종특별자치시하수도,세종특별자치시하수도,본점,세종특별자치시 세종특별자치시,직영기업(하수도),-,044-301-3212,-,-,-,https://www.sejong.go.kr/water.do,이동윤
지방공공기관,세종특별자치시공영개발,세종특별자치시공영개발,본점,세종특별자치시 세종특별자치시,직영기업(공영개발),-,044-300-4654,-,-,-,http://www.sejong.go.kr,남궁호
지방공공기관,세종도시교통공사,세종도시교통공사,본점,세종특별자치시 세종특별자치시,지방공사(기타공사),-,044-850-0100,-,-,-,http://www.sctc.kr,도순구
지방공공기관,세종특별자치시시설관리공단,세종특별자치시시설관리공단,본점,세종특별자치시 세종특별자치시,지방공단(시설관리공단),-,044-850-1100,-,-,-,http://www.sjfmc.or.kr,조소연
지방공공기관,경기도고덕국제화계획지구조성사업,경기도고덕국제화계획지구조성사업,본점,경기도 경기도,직영기업(공영개발),-,031-8008-2599,-,-,-,http://www.gg.go.kr,이계삼
지방공공기관,경기도판교테크노밸리조성사업,경기도판교테크노밸리조성사업,본점,경기도 경기도,직영기업(공영개발),-,031-8008-5353,-,-,-,http://www.pangyotechnovalley.org,류광열
지방공공기관,경기주택도시공사,경기주택도시공사,본점,경기도 경기도,지방공사(도시개발공사),-,1588-0466,-,-,-,http://www.gh.or.kr,김세용
지방공공기관,경기관광공사,경기관광공사,본점,경기도 경기도,지방공사(기타공사),-,031-259-4700,-,-,-,https://ggtour.or.kr/gto/,조원용
지방공공기관,경기교통공사,경기교통공사,본점,경기도 경기도,지방공사(기타공사),-,031-860-1500,-,-,-,www.gtrans.or.kr,민경선
지방공공기관,경기평택항만공사,경기평택항만공사,본점,경기도 경기도,지방공사(기타공사),-,031-686-0600,-,-,-,http://www.gppc.or.kr,김석구
지방공공기관,수원시상수도,수원시상수도,본점,경기도 수원시,직영기업(상수도),-,031-228-4907,-,-,-,https://water.suwon.go.kr,변영선
지방공공기관,수원시하수도,수원시하수도,본점,경기도 수원시,직영기업(하수도),-,031-228-3482,-,-,-,http://www.suwon.go.kr,최승래
지방공공기관,수원도시공사,수원도시공사,본점,경기도 수원시,지방공사(기타공사),-,031-240-2800,-,-,-,https://www.suwonudc.co.kr,허정문
지방공공기관,성남시상수도,성남시상수도,본점,경기도 성남시,직영기업(상수도),-,031-729-4043,-,-,-,http://seongnam.go.kr,전석배
지방공공기관,성남시하수도,성남시하수도,본점,경기도 성남시,직영기업(하수도),-,031-729-4172,-,-,-,http://www.seongnam.go.kr,이성진
지방공공기관,성남시공영개발,성남시공영개발,본점,경기도 성남시,직영기업(공영개발),-,031-729-3381,-,-,-,http://www.seongnam.go.kr,박경우
지방공공기관,성남도시개발공사,성남도시개발공사,본점,경기도 성남시,지방공사(기타공사),-,031-725-9300,-,-,-,http://www.isdc.co.kr,박민우
지방공공기관,고양시상수도,고양시상수도,본점,경기도 고양시,직영기업(상수도),-,031-8075-4420,-,-,-,http://water.goyang.go.kr,윤건상
지방공공기관,고양시하수도,고양시하수도,본점,경기도 고양시,직영기업(하수도),-,031-8075-4562,-,-,-,http://www.goyang.go.kr,최충락
지방공공기관,고양도시관리공사,고양도시관리공사,본점,경기도 고양시,지방공사(기타공사),-,031-929-4800,-,-,-,http://www.gys.or.kr,강승필
지방공공기관,용인시상수도,용인시상수도,본점,경기도 용인시,직영기업(상수도),-,031-324-4204,-,-,-,https://www.yongin.go.kr/water/index.do,김성열
지방공공기관,용인시하수도,용인시하수도,본점,경기도 용인시,직영기업(하수도),-,031-324-4455,-,-,-,https://www.yongin.go.kr/water/index.do,이재석
지방공공기관,용인도시공사,용인도시공사,본점,경기도 용인시,지방공사(기타공사),-,031-330-3900,-,-,-,http://www.yuc.co.kr/,최찬용
지방공공기관,부천시상수도,부천시상수도,본점,경기도 부천시,직영기업(상수도),-,032-625-3224,-,-,-,http://water.bucheon.go.kr,최은희
지방공공기관,부천시하수도,부천시하수도,본점,경기도 부천시,직영기업(하수도),-,032-625-4953,-,-,-,http://www.bucheon.go.kr,석상균
지방공공기관,부천도시공사,부천도시공사,본점,경기도 부천시,지방공사(기타공사),-,032-340-0700,-,-,-,http://www.best.or.kr/,원명희
지방공공기관,안산시상수도,안산시상수도,본점,경기도 안산시,직영기업(상수도),-,031-481-3651,-,-,-,http://water.iansan.net,박명섭
지방공공기관,안산시하수도,안산시하수도,본점,경기도 안산시,직영기업(하수도),-,031-481-2458,-,-,-,http://water.iansan.net,백현숙
지방공공기관,안산도시공사,안산도시공사,본점,경기도 안산시,지방공사(기타공사),-,031-481-4900,-,-,-,http://www.ansanuc.net/,허숭
지방공공기관,안양시상수도,안양시상수도,본점,경기도 안양시,직영기업(상수도),-,031-8045-5660,-,-,-,http://www.anyang.go.kr/index.jsp,홍재언
지방공공기관,안양시하수도,안양시하수도,본점,경기도 안양시,직영기업(하수도),-,031-8045-2454,-,-,-,http://www.anyang.go.kr,박황신
지방공공기관,안양도시공사,안양도시공사,본점,경기도 안양시,지방공사(기타공사),-,031-389-5352,-,-,-,http://www.auc.or.kr,이명호
지방공공기관,안양시시설관리공단,안양시시설관리공단,본점,경기도 안양시,지방공단(시설관리공단),-,031-389-5342,-,-,-,http://www.ansi.or.kr,-
지방공공기관,남양주시상수도,남양주시상수도,본점,경기도 남양주시,직영기업(상수도),-,031-590-4603,-,-,-,http://www.nyj.go.kr/main/1898,이대열
지방공공기관,남양주시하수도,남양주시하수도,본점,경기도 남양주시,직영기업(하수도),-,031-590-2451,-,-,-,http://www.nyj.go.kr/main/1898,-
지방공공기관,남양주도시공사,남양주도시공사,본점,경기도 남양주시,지방공사(기타공사),-,031-560-1000,-,-,-,https://www.ncuc.or.kr/main/1,이계문
지방공공기관,화성시상수도,화성시상수도,본점,경기도 화성시,직영기업(상수도),-,031-5189-3276,-,-,-,http://www.hscity.go.kr/part/dept/BD_selectDeptCntnts.do?q_cntntsTy=administration&q_deptCode=55303230000&q_deptNm=맑은물운영과,송문
지방공공기관,화성시하수도,화성시하수도,본점,경기도 화성시,직영기업(하수도),-,031-5189-6862,-,-,-,http://www.hscity.go.kr/part/dept/BD_selectDeptCntnts.do?q_cntntsTy=job&q_deptCode=55303410000&q_firstLoad=N,유동근
지방공공기관,화성도시공사,화성도시공사,본점,경기도 화성시,지방공사(기타공사),-,031-8012-7799,-,-,-,http://www.hsuco.or.kr,김근영
지방공공기관,평택시상수도,평택시상수도,본점,경기도 평택시,직영기업(상수도),-,031-8024-5121,-,-,-,https://www.pyeongtaek.go.kr/sanghasudo/main.do,박천수
지방공공기관,평택시하수도,평택시하수도,본점,경기도 평택시,직영기업(하수도),-,031-8024-5212,-,-,-,https://www.pyeongtaek.go.kr/sanghasudo/main.do,박천수
지방공공기관,평택도시공사,평택도시공사,본점,경기도 평택시,지방공사(기타공사),-,031-8053-8800,-,-,-,http://www.puc.or.kr,강팔문
지방공공기관,의정부시상수도,의정부시상수도,본점,경기도 의정부시,직영기업(상수도),-,031-870-6215,-,-,-,http://www.ui4u.go.kr/water,이영재
지방공공기관,의정부시하수도,의정부시하수도,본점,경기도 의정부시,직영기업(하수도),-,031-870-6215,-,-,-,http://www.ui4u.go.kr/water,이영재
지방공공기관,의정부시공영개발,의정부시공영개발,본점,경기도 의정부시,직영기업(공영개발),-,032-453-7156,-,-,-,http://www.ui4u.go.kr,이재송
지방공공기관,의정부도시공사,의정부도시공사,본점,경기도 의정부시,지방공사(기타공사),-,031-828-6813,-,-,-,http://www.uiuc.or.kr,김용석
지방공공기관,의정부시시설관리공단(폐지),의정부시시설관리공단(폐지),본점,경기도 의정부시,지방공단(시설관리공단),-,031-828-6813,-,-,-,http://www.uiuc.or.kr,김용석
지방공공기관,시흥시상수도,시흥시상수도,본점,경기도 시흥시,직영기업(상수도),-,031-310-6103,-,-,-,http://water.siheung.go.kr,전종삼
지방공공기관,시흥시하수도,시흥시하수도,본점,경기도 시흥시,직영기업(하수도),-,031-310-6153,-,-,-,http://www.siheung.go.kr/,이기재
지방공공기관,시흥시공영개발,시흥시공영개발,본점,경기도 시흥시,직영기업(공영개발),-,031-310-69632,-,-,-,http://www.siheung.go.kr/baegot,도시주택국장
지방공공기관,시흥도시공사,시흥도시공사,본점,경기도 시흥시,지방공사(기타공사),-,031-488-6800,-,-,-,http://www.shsi.or.kr,시흥도시공사 정동선
지방공공기관,파주시상수도,파주시상수도,본점,경기도 파주시,직영기업(상수도),-,031-940-5511,-,-,-,http://www.paju.go.kr,박준태
지방공공기관,파주시하수도,파주시하수도,본점,경기도 파주시,직영기업(하수도),-,031-940-5097,-,-,-,http://www.paju.go.kr,김관진
지방공공기관,파주도시관광공사,파주도시관광공사,본점,경기도 파주시,지방공사(기타공사),-,031-950-1800,-,-,-,https://www.pajuutc.or.kr/,파주도시관광공사/조동칠
지방공공기관,파주시시설관리공단,파주시시설관리공단,본점,경기도 파주시,지방공단(시설관리공단),-,031-950-1800,-,-,-,http://www.pajusisul.or.kr,손혁재
지방공공기관,광명시상수도,광명시상수도,본점,경기도 광명시,직영기업(상수도),-,02-2680-2272,-,-,-,http://water.gm.go.kr,박계근
지방공공기관,광명시하수도,광명시하수도,본점,경기도 광명시,직영기업(하수도),-,02-749-5314,-,-,-,http://www.gm.go.kr,성동준
지방공공기관,광명도시공사,광명도시공사,본점,경기도 광명시,지방공사(기타공사),-,02-2610-7300,-,-,-,http://www.gmuc.co.kr,서일동
지방공공기관,김포시상수도,김포시상수도,본점,경기도 김포시,직영기업(상수도),-,031-5186-4405,-,-,-,http://water.gimpo.go.kr,박정우
지방공공기관,김포시하수도,김포시하수도,본점,경기도 김포시,직영기업(하수도),-,031-5186-4492,-,-,-,http://water.gimpo.go.kr,박정우
지방공공기관,김포도시공사(김포도시관리공사 합병),김포도시공사(김포도시관리공사 합병),본점,경기도 김포시,지방공사(기타공사),-,031-980-8500,-,-,-,http://www.guc.or.kr,김동석
지방공공기관,김포도시관리공사,김포도시관리공사,본점,경기도 김포시,지방공사(기타공사),-,031-980-8500,-,-,-,https://www.guc.or.kr/,이형록
지방공공기관,김포시시설관리공단(김포도시관리공사 합병),김포시시설관리공단(김포도시관리공사 합병),본점,경기도 김포시,지방공단(시설관리공단),-,031-980-8300,-,-,-,http://www.gp.or.kr,차동국
지방공공기관,군포시상수도,군포시상수도,본점,경기도 군포시,직영기업(상수도),-,031-390-3212,-,-,-,http://www.gunpo.go.kr/sudo/index.do,홍유진
지방공공기관,군포시하수도,군포시하수도,본점,경기도 군포시,직영기업(하수도),-,031-390-3261,-,-,-,http://www.gunpo.go.kr/,장태진
지방공공기관,군포도시공사,군포도시공사,본점,경기도 군포시,지방공사(기타공사),-,031-390-7600,-,-,-,http://gunpouc.or.kr,배재국
지방공공기관,광주시상수도,광주시상수도,본점,경기도 광주시,직영기업(상수도),-,031-760-2605,-,-,-,-,한용우
지방공공기관,광주시하수도,광주시하수도,본점,경기도 광주시,직영기업(하수도),-,031-760-2966,-,-,-,https://www.gjcity.go.kr/depart/contents.do?mId=0903010000,나중윤
지방공공기관,광주도시관리공사,광주도시관리공사,본점,경기도 광주시,지방공사(기타공사),-,031-799-4800,-,-,-,http://www.gumc.or.kr,박남수
지방공공기관,이천시상수도,이천시상수도,본점,경기도 이천시,직영기업(상수도),-,031-644-4214,-,-,-,http://water.icheon.go.kr,박철희
지방공공기관,이천시하수도,이천시하수도,본점,경기도 이천시,직영기업(하수도),-,031-644-4262,-,-,-,https://www.icheon.go.kr/depart/contents.do?mid=0409000000,박철희
지방공공기관,이천시시설관리공단,이천시시설관리공단,본점,경기도 이천시,지방공단(시설관리공단),-,031-632-6670,-,-,-,http://2000fmc.or.kr,김종춘
지방공공기관,양주시상수도,양주시상수도,본점,경기도 양주시,직영기업(상수도),-,031-8082-6813,-,-,-,http://www.yangju.go.kr,윤형호
